Mouse.ID	Measurement	Type
M12	119.13	crypt (um)
M12	94.38	crypt (um)
M12	99.00	crypt (um)
M12	64.42	crypt (um)
M12	69.03	crypt (um)
M12	70.29	crypt (um)
M12	102.97	crypt (um)
M12	84.50	crypt (um)
M12	73.22	crypt (um)
M12	84.22	crypt (um)
M12	86.57	crypt (um)
M12	56.80	crypt (um)
M15	64.85	crypt (um)
M15	29.69	crypt (um)
M15	59.11	crypt (um)
M15	61.13	crypt (um)
M15	45.01	crypt (um)
M15	75.32	crypt (um)
M15	60.92	crypt (um)
M15	44.96	crypt (um)
M18	96.92	crypt (um)
M18	93.63	crypt (um)
M18	96.64	crypt (um)
M18	71.18	crypt (um)
M18	104.07	crypt (um)
M18	88.98	crypt (um)
M18	84.78	crypt (um)
M18	90.60	crypt (um)
M18	87.32	crypt (um)
M18	70.69	crypt (um)
M18	77.19	crypt (um)
M18	73.30	crypt (um)
M18	86.46	crypt (um)
M18	92.95	crypt (um)
M18	90.82	crypt (um)
M18	85.93	crypt (um)
M18	56.11	crypt (um)
M18	58.79	crypt (um)
M18	78.89	crypt (um)
M18	63.57	crypt (um)
M18	73.53	crypt (um)
M18	66.97	crypt (um)
M18	102.77	crypt (um)
M18	79.08	crypt (um)
M19	98.48	crypt (um)
M19	79.12	crypt (um)
M19	75.71	crypt (um)
M19	84.07	crypt (um)
M19	99.78	crypt (um)
M19	109.79	crypt (um)
M19	100.63	crypt (um)
M19	117.32	crypt (um)
M19	82.85	crypt (um)
M19	68.37	crypt (um)
M19	89.07	crypt (um)
M19	81.72	crypt (um)
M19	88.64	crypt (um)
M19	113.28	crypt (um)
M19	115.06	crypt (um)
M19	91.42	crypt (um)
M19	75.04	crypt (um)
M21	83.68	crypt (um)
M21	103.49	crypt (um)
M21	107.01	crypt (um)
M21	65.05	crypt (um)
M21	128.18	crypt (um)
M21	92.54	crypt (um)
M21	85.62	crypt (um)
M21	76.05	crypt (um)
M21	78.45	crypt (um)
M21	77.35	crypt (um)
M21	69.37	crypt (um)
M21	96.97	crypt (um)
M21	68.57	crypt (um)
M21	108.59	crypt (um)
M21	112.99	crypt (um)
M21	91.41	crypt (um)
M21	125.81	crypt (um)
M21	99.60	crypt (um)
M21	118.81	crypt (um)
M21	101.96	crypt (um)
M21	98.57	crypt (um)
M22	78.58	crypt (um)
M22	116.65	crypt (um)
M22	74.16	crypt (um)
M22	112.08	crypt (um)
M22	83.52	crypt (um)
M22	91.76	crypt (um)
M22	102.24	crypt (um)
M22	100.56	crypt (um)
M22	104.18	crypt (um)
M22	78.43	crypt (um)
M22	130.10	crypt (um)
M22	89.34	crypt (um)
M22	108.96	crypt (um)
M22	86.40	crypt (um)
M22	123.06	crypt (um)
M22	94.74	crypt (um)
M22	114.61	crypt (um)
M22	94.93	crypt (um)
M22	87.77	crypt (um)
M22	75.84	crypt (um)
M22	88.81	crypt (um)
M22	70.48	crypt (um)
M22	64.73	crypt (um)
M22	98.62	crypt (um)
M22	75.61	crypt (um)
M22	105.90	crypt (um)
M22	109.24	crypt (um)
M23	113.36	crypt (um)
M23	151.93	crypt (um)
M23	64.60	crypt (um)
M23	87.15	crypt (um)
M23	106.95	crypt (um)
M23	94.03	crypt (um)
M23	138.16	crypt (um)
M23	88.51	crypt (um)
M23	98.07	crypt (um)
M23	86.86	crypt (um)
M23	102.91	crypt (um)
M23	113.49	crypt (um)
M23	92.06	crypt (um)
M23	78.94	crypt (um)
M23	98.85	crypt (um)
M23	119.06	crypt (um)
M23	98.84	crypt (um)
M23	123.57	crypt (um)
M23	102.94	crypt (um)
M23	111.26	crypt (um)
